Sample	GRS
Sample_15	1.94
Sample_145	2.22
Sample_6	2.33
Sample_5	2.42
Sample_92	2.38
Sample_150	2.62
Sample_90	2.37
Sample_16	2.64
Sample_4	2.42
Sample_2	2.48
Sample_93	2.29
Sample_12	2.35
Sample_31	2.42
Sample_38	2.48
Sample_39	2.29
Sample_41	2.31
Sample_45	2.44
Sample_42	2.53
Sample_97	2.12
Sample_46	2.22
Sample_20	2.63
Sample_100	2.39
Sample_51	2.38
Sample_62	2.49
Sample_87	2.30
Sample_37	2.39
Sample_59	2.37
Sample_32	2.34
Sample_34	2.59
Sample_30	2.18
Sample_65	2.30
Sample_54	2.47
Sample_43	2.28
Sample_53	2.18
Sample_95	2.53
Sample_58	2.20
Sample_57	2.29
Sample_44	2.19
Sample_47	2.13
Sample_66	2.54
Sample_96	2.18
Sample_24	2.17
Sample_128	2.53
Sample_121	2.32
Sample_86	2.09
Sample_113	2.25
Sample_114	2.15
Sample_140	2.26
Sample_73	2.36
Sample_94	2.17
Sample_27	2.46
Sample_21	2.36
Sample_25	2.62
Sample_55	2.23
Sample_49	1.98
Sample_61	2.40
Sample_60	2.42
Sample_18	2.07
Sample_36	2.45
Sample_28	2.07
Sample_88	2.04
Sample_99	2.09
Sample_48	2.33
Sample_63	2.56
Sample_52	2.37
Sample_71	2.40
Sample_81	2.34
Sample_83	2.34
Sample_75	2.28
Sample_78	2.37
Sample_79	2.41
Sample_77	2.49
Sample_80	2.09
Sample_72	2.41
Sample_76	2.28
Sample_74	2.18
Sample_85	2.39
Sample_117	2.44
Sample_1	2.49
Sample_82	2.36
Sample_13	2.33
Sample_124	2.40
Sample_119	2.20
Sample_146	2.44
Sample_143	2.25
Sample_132	2.01
Sample_123	2.22
Sample_106	2.00
Sample_136	2.38
Sample_104	2.41
Sample_107	2.32
Sample_138	2.56
Sample_109	2.78
Sample_137	2.05
Sample_101	2.36
Sample_144	2.15
Sample_8	2.11
Sample_108	2.40
Sample_69	2.37
Sample_3	2.35
Sample_7	2.40
Sample_14	2.36
Sample_10	2.49
Sample_40	2.61
Sample_11	2.48
Sample_17	2.25
Sample_33	2.44
Sample_98	2.41
Sample_50	2.51
Sample_23	2.08
Sample_84	2.57
Sample_35	2.30
Sample_56	2.07
Sample_29	2.52
Sample_89	2.20
Sample_91	2.28
Sample_67	2.23
Sample_64	2.28
Sample_26	2.47
Sample_68	2.35
Sample_22	2.30
Sample_70	2.35
Sample_110	2.45
Sample_116	2.40
Sample_122	2.22
Sample_120	2.31
Sample_125	2.61
Sample_130	2.32
Sample_131	2.35
Sample_141	2.23
Sample_142	2.36
Sample_149	2.49
Sample_147	2.24
Sample_111	2.52
Sample_105	2.34
Sample_118	2.28
Sample_126	2.31
Sample_127	2.29
Sample_135	2.37
Sample_139	2.52
Sample_133	2.43
Sample_103	2.29
Sample_112	2.40
Sample_148	2.30
Sample_129	2.18
Sample_134	2.47
Sample_9	2.34
Sample_19	2.48
