Metabolite1	Metabolite2
Matched_455	Matched_1416
Matched_210	Matched_492
Matched_906	Matched_358
Matched_1327	Matched_725
Matched_1037	Matched_479
Matched_1413	Matched_236
Matched_1489	Matched_606
Matched_1195	Matched_189
Matched_271	Matched_136
Matched_1390	Matched_1201
Matched_1858	Matched_1305
Matched_1196	Matched_671
Matched_1811	Matched_1405
Matched_1337	Matched_181
Matched_808	Matched_938
Matched_117	Matched_1843
Matched_1145	Matched_1231
Matched_542	Matched_390
Matched_1142	Matched_1571
Matched_1610	Matched_1943
Matched_1482	Matched_1196
Matched_1024	Matched_110
Matched_1163	Matched_552
Matched_1754	Matched_73
Matched_23	Matched_301
Matched_1113	Matched_729
Matched_1588	Matched_1552
Matched_112	Matched_1401
Matched_366	Matched_1927
Matched_1300	Matched_647
Matched_1074	Matched_120
Matched_98	Matched_1559
Matched_1406	Matched_128
Matched_849	Matched_1321
Matched_843	Matched_391
Matched_1888	Matched_1474
