Metabolite1	Metabolite2
SharedKnown_59	SharedKnown_59
SharedKnown_120	SharedKnown_120
SharedKnown_436	SharedKnown_436
SharedKnown_38	SharedKnown_38
SharedKnown_566	SharedKnown_566
SharedKnown_890	SharedKnown_890
SharedKnown_957	SharedKnown_957
SharedKnown_863	SharedKnown_863
SharedKnown_132	SharedKnown_132
SharedKnown_145	SharedKnown_145
SharedKnown_225	SharedKnown_225
SharedKnown_466	SharedKnown_466
SharedKnown_86	SharedKnown_86
SharedKnown_297	SharedKnown_297
SharedKnown_661	SharedKnown_661
SharedKnown_663	SharedKnown_663
SharedKnown_505	SharedKnown_505
SharedKnown_408	SharedKnown_408
SharedKnown_28	SharedKnown_28
SharedKnown_454	SharedKnown_454
SharedKnown_625	SharedKnown_625
